config,vgg16_liong,vgg16_nitik,vgg16_megamendung,vgg19_liong,vgg19_nitik,vgg19_megamendung
_1,0.13086734636477532,0.1665407695034546,0.20440072041110427,0.08074010894571165,0.13886086243215126,0.079192890331096
_2,0.2113832933108065,0.18306208643453645,0.2257261691431876,0.14716107355483413,0.13798363588291634,0.1105317467029698
_3,0.21017962815381275,0.1709405267767771,0.2273167653066792,0.13419064719935986,0.13986379541148666,0.1364484678359461
_4,0.22129738316840303,0.22146362905622288,0.27035299913818844,0.11694252639718222,0.14634807440157024,0.13547964031131546
_5,0.10894720535941765,0.16510428426541768,0.21088604300832156,0.09039486987057042,0.1391766446884617,0.09566134393401321
_12,0.1911145683234849,0.17565312664065227,0.21453731878912927,0.13408751022393453,0.13765997440428404,0.10186395234654134
_13,0.20184720301460696,0.17190914030250884,0.22580530586085285,0.1246591082216166,0.13622399963993947,0.2512552781062545
_14,0.2119443076860894,0.20288375721694774,0.2564223232517085,0.11472627116043796,0.14446525730889218,0.13640472335134102
_15,0.12131007145012876,0.1631627482971673,0.20445226495264612,0.08624914184386093,0.13919484886454886,0.11147678034397715
_23,0.19111834651354612,0.17696891046837473,0.2219193718630035,0.13851371229802115,0.13924017911625597,0.13012729939508455
_24,0.2073331156407954,0.21042326789708732,0.24947945831683557,0.10211991040006632,0.13989400855678763,0.1145317792071203
_25,0.19241705366529063,0.1731154536382239,0.20589877676633422,0.21941740366934967,0.03105914514322678,0.10852870268875885
_34,0.20153431710032613,0.16586776811785967,0.21759710315996236,0.12252230645242879,0.14525024876150885,0.09924292153907883
_35,0.20333761165639802,0.16948587551580174,0.22629918628624676,0.12229111998086595,0.13741255623808005,0.12906668964750284
_45,0.2149577444473798,0.20448284392107965,0.25309598100255515,0.11452737428405604,0.1431148473352229,0.1251479107591975
_123,0.17589467449699717,0.1625579932818977,0.2108748674139036,0.12482242131784463,0.13644895679793398,0.11317470186469504
_124,0.18806550891828303,0.1871182288078855,0.23809146654614363,0.09675949417679713,0.14301053814271156,0.10421166311778642
_125,0.2125611514305689,0.17013375395158684,0.21587105909944831,0.12288283835592623,0.13964278494359122,0.0929651327538088
_134,0.18375446533359097,0.16390199115585904,0.13932755153904594,0.09740786759166101,0.14042445687851385,0.08671270984077034
_135,0.18930127636854566,0.15139608605766136,0.21510794112597717,0.10833574877873459,0.1394051085410949,0.10754249368067141
_145,0.1999867489139494,0.19566170786626869,0.23772602247646432,0.10891261708558364,0.14195805753379884,0.1061371457714653
_234,0.08840797747558059,0.16840748089130642,0.20414703614752533,0.0765943632058872,0.1404032268615576,0.0730820587512473
_235,0.17514900205372647,0.09659737307089278,0.21480723340878394,0.12443705381868392,0.1386855344753501,0.11105992487418864
_245,0.18854778074511788,0.1878495033436973,0.23539550159150718,0.22116035023655223,0.13978952460453087,0.10150711200996093
_345,0.18350995298088876,0.15989012265905372,0.20780336711726083,0.12037454479903037,0.14155151428584503,0.0911867072175092
_1234,0.07854668912753843,0.16784228109804075,0.20415712805571481,0.07400420381560058,0.13927007499189295,0.07370815525143098
_1235,0.19591458949674376,0.18314337628572247,0.22962040332991085,0.1517671779778954,0.1404962788190869,0.14719012721247465
_1245,0.21638249873359042,0.2157795882847148,0.25895080359103056,0.10942188685169149,0.13917940045749733,0.25803801837216767
_1345,0.23025769459459472,0.16840908317412187,0.21875403001101112,0.10968096794207963,0.14243045896068565,0.11182327098201024
_2345,0.10891385221928349,0.16691562583464956,0.20502827886773672,0.07510895878415626,0.13779323259880946,0.09481839384708249
